,manufacturer,model_name,category,screen_size_inch,cpu,ram_gb,storage,gpu,os,os_version,weight,price_euros,cpu_manufacturer,gpu_manufacturer,screen_width_px,screen_height_px,cpu_speed_GHz
0,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.3GHz,8,128GB SSD,Intel Iris Plus Graphics 640,macOS,,1.37kg,1339.69,Intel,Intel,2560,1600,2.3
1,Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 1.8GHz,8,128GB Flash Storage,Intel HD Graphics 6000,macOS,,1.34kg,898.94,Intel,Intel,1440,900,1.8
2,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8,256GB SSD,Intel HD Graphics 620,No OS,,1.86kg,575.0,Intel,Intel,1920,1080,2.5
3,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.7GHz,16,512GB SSD,AMD Radeon Pro 455,macOS,,1.83kg,2537.45,Intel,AMD,2880,1800,2.7
4,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 3.1GHz,8,256GB SSD,Intel Iris Plus Graphics 650,macOS,,1.37kg,1803.6,Intel,Intel,2560,1600,3.1
5,Acer,Aspire 3,Notebook,15.6,AMD A9-Series 9420 3GHz,4,500GB HDD,AMD Radeon R5,Windows,10,2.1kg,400.0,AMD,AMD,1366,768,3.0
6,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.2GHz,16,256GB Flash Storage,Intel Iris Pro Graphics,macOS,X,2.04kg,2139.97,Intel,Intel,2880,1800,2.2
7,Apple,Macbook Air,Ultrabook,13.3,Intel Core i5 1.8GHz,8,256GB Flash Storage,Intel HD Graphics 6000,macOS,,1.34kg,1158.7,Intel,Intel,1440,900,1.8
8,Asus,ZenBook UX430UN,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Nvidia GeForce MX150,Windows,10,1.3kg,1495.0,Intel,Nvidia,1920,1080,1.8
9,Acer,Swift 3,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.6kg,770.0,Intel,Intel,1920,1080,1.6
10,HP,250 G6,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4,500GB HDD,Intel HD Graphics 620,No OS,,1.86kg,393.9,Intel,Intel,1366,768,2.5
11,HP,250 G6,Notebook,15.6,Intel Core i3 6006U 2GHz,4,500GB HDD,Intel HD Graphics 520,No OS,,1.86kg,344.99,Intel,Intel,1920,1080,2.0
12,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.8GHz,16,256GB SSD,AMD Radeon Pro 555,macOS,,1.83kg,2439.97,Intel,AMD,2880,1800,2.8
13,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,498.9,Intel,AMD,1920,1080,2.0
14,Apple,"MacBook 12""",Ultrabook,12.0,Intel Core M m3 1.2GHz,8,256GB SSD,Intel HD Graphics 615,macOS,,0.92kg,1262.4,Intel,Intel,2304,1440,1.2
15,Apple,MacBook Pro,Ultrabook,13.3,Intel Core i5 2.3GHz,8,256GB SSD,Intel Iris Plus Graphics 640,macOS,,1.37kg,1518.55,Intel,Intel,2560,1600,2.3
16,Dell,Inspiron 3567,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8,256GB SSD,AMD Radeon R5 M430,Windows,10,2.2kg,745.0,Intel,AMD,1920,1080,2.7
17,Apple,MacBook Pro,Ultrabook,15.4,Intel Core i7 2.9GHz,16,512GB SSD,AMD Radeon Pro 560,macOS,,1.83kg,2858.0,Intel,AMD,2880,1800,2.9
18,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8,1TB HDD,Nvidia GeForce 940MX,No OS,,2.2kg,499.0,Intel,Nvidia,1920,1080,2.4
19,Dell,XPS 13,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8,128GB SSD,Intel UHD Graphics 620,Windows,10,1.22kg,979.0,Intel,Intel,1920,1080,1.6
20,Asus,Vivobook E200HA,Netbook,11.6,Intel Atom x5-Z8350 1.44GHz,2,32GB Flash Storage,Intel HD Graphics 400,Windows,10,0.98kg,191.9,Intel,Intel,1366,768,1.44
21,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows,10,2.5kg,999.0,Intel,Nvidia,1920,1080,2.5
22,HP,255 G6,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4,500GB HDD,AMD Radeon R2,No OS,,1.86kg,258.0,AMD,AMD,1366,768,1.5
23,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Intel UHD Graphics 620,Windows,10,1.62kg,819.0,Intel,Intel,1920,1080,1.6
24,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,8,256GB SSD,Intel HD Graphics 620,Windows,10,1.91kg,659.0,Intel,Intel,1920,1080,1.8
25,Dell,Inspiron 3567,Notebook,15.6,Intel Core i3 6006U 2GHz,4,1TB HDD,Intel HD Graphics 520,Windows,10,2.3kg,418.64,Intel,Intel,1366,768,2.0
